Date,Time,Open,High,Low,Close,Volume
2017.05.29,0:00,1.1166,1.11896,1.11615,1.11627,63287
2017.05.30,0:00,1.11622,1.12051,1.11092,1.11855,113158
2017.05.31,0:00,1.11853,1.1252,1.11643,1.1243,117358
2017.06.01,0:00,1.12429,1.12564,1.12018,1.12121,101159
2017.06.02,0:00,1.12123,1.12848,1.12047,1.12784,102023
2017.06.05,0:00,1.12699,1.12835,1.12339,1.12536,70577
2017.06.06,0:00,1.12546,1.12837,1.12401,1.12764,83681
2017.06.07,0:00,1.12749,1.12824,1.12037,1.12563,91229
2017.06.08,0:00,1.12557,1.12691,1.11948,1.12122,96418
2017.06.09,0:00,1.12153,1.12365,1.11661,1.11935,104926
2017.06.12,0:00,1.12045,1.12318,1.11916,1.12039,75026
2017.06.13,0:00,1.12015,1.12247,1.1185,1.121,70536
2017.06.14,0:00,1.121,1.12954,1.11927,1.12173,113662
2017.06.15,0:00,1.12157,1.12283,1.11318,1.11449,103180
2017.06.16,0:00,1.11435,1.12014,1.11382,1.11961,80702
2017.06.19,0:00,1.12037,1.12125,1.11428,1.11476,73398
2017.06.20,0:00,1.11476,1.11647,1.11186,1.11337,85409
2017.06.21,0:00,1.11319,1.11687,1.1127,1.11682,78438
2017.06.22,0:00,1.11682,1.11777,1.1139,1.11509,75806
2017.06.23,0:00,1.11512,1.12087,1.11449,1.11928,66256
2017.06.26,0:00,1.11969,1.12195,1.11714,1.1181,76944
2017.06.27,0:00,1.11785,1.1349,1.11785,1.13379,100777
2017.06.28,0:00,1.13366,1.13901,1.12912,1.13762,124772
2017.06.29,0:00,1.13784,1.14451,1.13741,1.14396,104905
2017.06.30,0:00,1.14396,1.14449,1.13919,1.14254,102451
2017.07.03,0:00,1.14175,1.14264,1.13548,1.13641,77272
2017.07.04,0:00,1.13612,1.13766,1.13357,1.13438,73639
2017.07.05,0:00,1.13401,1.13682,1.13121,1.13495,87900
2017.07.06,0:00,1.13505,1.14243,1.13269,1.14216,92117
2017.07.07,0:00,1.14207,1.14395,1.13794,1.13954,95180
2017.07.10,0:00,1.13965,1.14177,1.13814,1.13985,68831
2017.07.11,0:00,1.13966,1.14793,1.13825,1.14659,85901
2017.07.12,0:00,1.14641,1.14891,1.13914,1.14127,110253
2017.07.13,0:00,1.14124,1.14556,1.137,1.13966,101917
2017.07.14,0:00,1.13958,1.14718,1.13912,1.14666,95402
2017.07.17,0:00,1.14688,1.14866,1.14345,1.14777,85242
2017.07.18,0:00,1.1479,1.1583,1.14711,1.15538,123344
2017.07.19,0:00,1.15539,1.15559,1.15097,1.15152,87078
2017.07.20,0:00,1.15135,1.16579,1.1479,1.16303,129390
2017.07.21,0:00,1.16296,1.16825,1.16188,1.16623,100842
2017.07.24,0:00,1.16589,1.1684,1.16256,1.16417,93394
2017.07.25,0:00,1.16421,1.17122,1.16304,1.16464,105811
2017.07.26,0:00,1.16476,1.17394,1.16123,1.17262,115045
2017.07.27,0:00,1.17262,1.17765,1.16497,1.16757,126264
2017.07.28,0:00,1.16757,1.17638,1.16709,1.17494,115399
2017.07.31,0:00,1.17518,1.18446,1.17229,1.18397,106143
2017.08.01,0:00,1.18397,1.18415,1.17849,1.18021,107716
2017.08.02,0:00,1.18006,1.191,1.17932,1.18545,105741
2017.08.03,0:00,1.18548,1.18926,1.18302,1.18706,102553
2017.08.04,0:00,1.18706,1.18889,1.17278,1.17719,101250
2017.08.07,0:00,1.17729,1.18139,1.17679,1.17949,77237
2017.08.08,0:00,1.17942,1.18235,1.17149,1.17527,90173
2017.08.09,0:00,1.17502,1.17635,1.16885,1.17578,108580
2017.08.10,0:00,1.17558,1.1785,1.17039,1.17725,105871
2017.08.11,0:00,1.17717,1.18468,1.17483,1.18189,99718
2017.08.14,0:00,1.18212,1.1838,1.17694,1.17811,83086
2017.08.15,0:00,1.17811,1.17923,1.16869,1.17341,99645
2017.08.16,0:00,1.17337,1.17783,1.16809,1.17667,107901
2017.08.17,0:00,1.17673,1.17897,1.16619,1.17228,118599
2017.08.18,0:00,1.17222,1.17741,1.1708,1.17578,106587
2017.08.21,0:00,1.1759,1.18277,1.17307,1.18151,75143
2017.08.22,0:00,1.1814,1.18239,1.17448,1.17611,80724
2017.08.23,0:00,1.17611,1.1823,1.17398,1.18086,83132
2017.08.24,0:00,1.18086,1.18175,1.17838,1.17993,80674
2017.08.25,0:00,1.17987,1.19411,1.17728,1.19209,102170
2017.08.28,0:00,1.19423,1.19834,1.19166,1.19775,78552
2017.08.29,0:00,1.19775,1.20699,1.19461,1.19786,132531
2017.08.30,0:00,1.1971,1.19839,1.18813,1.18819,107028
2017.08.31,0:00,1.18825,1.19123,1.18228,1.19039,106343
2017.09.01,0:00,1.19039,1.19795,1.18499,1.18627,110681
2017.09.04,0:00,1.18807,1.19217,1.18735,1.18934,83495
2017.09.05,0:00,1.18934,1.19404,1.18679,1.19165,111039
2017.09.06,0:00,1.19081,1.195,1.19025,1.19187,110713
2017.09.07,0:00,1.19158,1.20593,1.19136,1.20233,127380
2017.09.08,0:00,1.20208,1.20921,1.20145,1.20337,132404
2017.09.11,0:00,1.20161,1.20292,1.19489,1.19524,94934
2017.09.12,0:00,1.19522,1.19781,1.19262,1.19662,98816
2017.09.13,0:00,1.19661,1.19949,1.18729,1.18848,91638
2017.09.14,0:00,1.18848,1.19223,1.18379,1.19187,104404
2017.09.15,0:00,1.19187,1.19867,1.19009,1.19447,105621
2017.09.18,0:00,1.19233,1.19693,1.1915,1.19521,81914
2017.09.19,0:00,1.19521,1.20065,1.19481,1.19935,97970
2017.09.20,0:00,1.19936,1.2033,1.18611,1.18926,111000
2017.09.21,0:00,1.18926,1.19535,1.18656,1.19407,105733
2017.09.22,0:00,1.19399,1.20045,1.19366,1.19465,96441
2017.09.25,0:00,1.18987,1.19366,1.18321,1.18472,99343
2017.09.26,0:00,1.18472,1.18615,1.17573,1.17925,109971
2017.09.27,0:00,1.17925,1.17952,1.17171,1.17444,109633
2017.09.28,0:00,1.17444,1.1804,1.1721,1.17858,96022
2017.09.29,0:00,1.17854,1.18324,1.17725,1.18131,86743
2017.10.02,0:00,1.17945,1.18151,1.17302,1.17326,82290
2017.10.03,0:00,1.17326,1.17735,1.1696,1.17434,79391
2017.10.04,0:00,1.17434,1.17876,1.17349,1.17589,76881
2017.10.05,0:00,1.17589,1.17788,1.16991,1.17106,74001
2017.10.06,0:00,1.17106,1.17387,1.16692,1.1729,86100
2017.10.09,0:00,1.17305,1.17561,1.17195,1.17402,42356
2017.10.10,0:00,1.17402,1.18253,1.1739,1.18077,75607
2017.10.11,0:00,1.18077,1.1869,1.17951,1.18581,76998
2017.10.12,0:00,1.18581,1.18797,1.1827,1.18294,71414
2017.10.13,0:00,1.18294,1.18749,1.18052,1.18195,78284
2017.10.16,0:00,1.1812,1.18194,1.17805,1.17952,62943
2017.10.17,0:00,1.17958,1.18,1.17361,1.17659,66286
2017.10.18,0:00,1.1766,1.18053,1.173,1.17872,69353
2017.10.19,0:00,1.17872,1.18578,1.17681,1.18508,84834
2017.10.20,0:00,1.18508,1.18579,1.17623,1.17811,87617
2017.10.23,0:00,1.17664,1.17774,1.17247,1.17487,62143
2017.10.24,0:00,1.17487,1.17929,1.17428,1.17606,67406
2017.10.25,0:00,1.17605,1.18176,1.17531,1.18126,88081
2017.10.26,0:00,1.18126,1.18367,1.16403,1.16503,89443
2017.10.27,0:00,1.16503,1.16568,1.15742,1.16075,92085
